"x" "y" "layer.1" "layer.2" "layer.3" "layer.4" "layer.5" "layer.6" "layer.7" "reino" "ids"
"50" -145 1 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4155
"51" -143 1 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4156
"52" -179 -1 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4285
"53" -177 -1 19104.32557 327.1607739 -3.245686983 0.801336472 0.510480089 -0.20312109 16 "17" 4286
"54" -175 -1 19104.32557 327.1607739 -3.245686983 0.801336472 0.510480089 -0.20312109 16 "17" 4287
"55" -173 -1 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4288
"56" -171 -1 19996.64163 321.4987882 -3.655087024 0.796226282 0.532570617 0.127405565 17 "17" 4289
"57" -169 -1 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4290
"58" -167 -1 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4291
"59" -165 -1 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4292
"60" -163 -1 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4293
"61" -161 -1 19104.32557 327.1607739 -3.245686983 0.801336472 0.510480089 -0.20312109 16 "17" 4294
"62" -159 -1 19104.32557 327.1607739 -3.245686983 0.801336472 0.510480089 -0.20312109 16 "17" 4295
"63" -157 -1 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4296
"64" -155 -1 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4297
"65" -153 -1 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4298
"66" -151 -1 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4299
"67" -149 -1 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4300
"68" -147 -1 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4301
"69" -145 -1 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4302
