"log.riqreino" "riq.reino" "median.bs.rg" "median.div.rg" "taxaend" "dim" "area" "log.area" "x" "centlong" "centlat"
"1" 1.662757832 46 0.198544816 0.001685617 0 0.419423576 71 1.851258349 0.381990362453782 0.464788732394366 56.4084507042254
"2" 1.113943352 13 0.137018134 0.001107165 0 0.393944095 31 1.491361694 0.316351538060286 20.1612903225806 70.4193548387097
"3" 1.653212514 45 0.156071324 0.001399934 0 0.290758851 77 1.886490725 0.265639852194585 17.0779220779221 37.4935064935065
"4" 0.84509804 7 0.143814375 0.001313361 0 0.256165664 42 1.62324929 0.316237169492384 -28.1904761904762 66.8571428571429
"5" 1.792391689 62 0.301217711 0.002630228 0 0.472752969 367 2.564666064 0.395078703868562 -50.4223433242507 50.8365122615804
"6" 1.230448921 17 0.139090655 0.001374287 0 0.363336154 28 1.447158031 0.358637800759634 -32.7857142857143 64.6428571428571
"7" 1.662757832 46 0.158107314 0.001315884 0.043478261 0.393921602 753 2.876794976 0.24878947912583 -50.5617529880478 26.203187250996
"8" 1.792391689 62 0.165431873 0.001387886 0.064516129 0.427716986 508 2.705863712 0.304230985309402 -106.543307086614 -27.8031496062992
"9" 2.068185862 117 0.389878001 0.003558518 0.128205128 0.469673736 183 2.26245109 0.299035155097796 -76.0273224043716 21.0437158469945
"10" 1.84509804 70 0.296758449 0.002628668 0.014285714 0.396733202 130 2.113943352 0.356190929865404 -97.6461538461539 11.2923076923077
"11" 2.245512668 176 0.463756965 0.004962476 0.096590909 0.482097726 755 2.877946952 0.374474475559127 108.173509933775 0.541721854304636
"12" 1.612783857 41 0.174574628 0.001503906 0 0.252037646 19 1.278753601 0.221336323442186 39.5263157894737 19.6315789473684
"13" 1.612783857 41 0.158217432 0.001374287 0 0.396790294 81 1.908485019 0.243273514533767 166.530864197531 -29.8148148148148
"14" 2.1430148 139 0.308543058 0.003509047 0.122302158 0.398160378 165 2.217483944 0.355656280762848 143.727272727273 -17.8484848484848
"15" 1.491361694 31 0.134222545 0.001107865 0 0.367144883 513 2.710117365 0.324089632158288 -156.259259259259 -17.5263157894737
"16" 1.924279286 84 0.207175168 0.001909499 0.011904762 0.460386286 450 2.653212514 0.266109489962251 -35.7777777777778 45.88
"17" 1.977723605 95 0.25 0.002338754 0 0.437558123 679 2.831869774 0.304917425493484 78.0633284241532 -20.2223858615611
"18" 2.130333768 135 0.308543058 0.003509047 0.02962963 0.460066991 228 2.357934847 0.243593281362561 136.40350877193 24.4912280701754
"19" 2.08278537 121 0.30751634 0.003009893 0.016528926 0.497399956 930 2.968482949 0.332943510042507 -25.5763440860215 -9.29677419354839
"20" 1.204119983 16 0.117301423 0.000976744 0 0.258525962 281 2.44870632 0.307740712805952 -116.459074733096 1.96085409252669
"21" 1.806179974 64 0.165626191 0.00150093 0 0.361409544 65 1.812913357 0.287428236220853 -1.70769230769231 1.24615384615385
"22" 1.77815125 60 0.171711519 0.001559221 0 0.480676673 81 1.908485019 0.355302548375837 -61.4938271604938 -46.8518518518519
"23" 1.531478917 34 0.14354019 0.001314276 0 0.352417538 42 1.62324929 0.2711403544403 -76.0952380952381 -36.8095238095238
"24" 2 100 0.216443365 0.002104772 0.07 0.341027249 99 1.995635195 0.265653106026491 132.232323232323 -39.1414141414141
"25" 2.017033339 104 0.225117421 0.002102893 0.067307692 0.462247951 104 2.017033339 0.349007826729885 26.3269230769231 -31.9807692307692
"26" 1.73239376 54 0.155171516 0.00140071 0.037037037 0.364622645 173 2.238046103 0.262542294703257 41.7745664739884 -42.3063583815029
"27" 2.11058971 129 0.331651564 0.003545075 0.031007752 0.300242119 57 1.755874856 0.258157927967192 118.017543859649 26.0526315789474
"28" 1.322219295 21 0.134222545 0.001374287 0 0.466248867 274 2.437750563 0.392727365175632 -14.6496350364964 -48.963503649635
