"x" "y" "meantemp" "rangetemp" "clorofil" "oxygen" "icecover" "ph" "phyto" "primaryprod" "salinity" "reino" "ids"
"67" -101 7 27.872 3.666 0.174 204.229 0 8.214 1.533 0.008 33.485 22 3729
"68" -101 9 28.172 3.989 0.191 203.79 0 8.216 1.588 0.01 33.452 22 3587
"69" -103 -1 23.904 8.739 0.269 208.588 0 8.2 1.722 0.016 34.775 22 4323
"70" -103 -11 24.45 4.449 0.2 215.044 0 8.211 1.518 0.008 35.479 10 5054
"71" -103 -13 23.952 4.215 0.176 216.731 0 8.213 1.523 0.006 35.7 10 5202
"72" -103 -15 23.47 4.378 0.158 218.35 0 8.214 1.476 0.004 35.942 10 5351
"73" -103 -17 23.132 4.586 0.143 219.484 0 8.214 1.38 0.004 36.107 10 5496
"74" -103 -19 22.977 4.722 0.113 219.737 0 8.214 1.142 0.002 36.185 10 5642
"75" -103 -21 22.844 4.912 0.063 219.361 0 8.213 0.724 0.001 36.221 10 5785
"76" -103 -23 22.688 5.306 0.028 219.469 0 8.212 0.416 0 36.186 10 5925
"77" -103 -25 22.416 5.786 0.022 220.695 0 8.212 0.357 0 36.081 10 6065
"78" -103 -27 21.979 6.285 0.023 222.815 0 8.211 0.354 0 35.925 10 6207
"79" -103 -29 21.346 7.023 0.024 225.921 0 8.209 0.361 0 35.661 10 6350
"80" -103 -3 24.434 8.491 0.255 213.648 0 8.2 1.623 0.015 34.893 22 4471
"81" -103 -31 20.449 7.864 0.03 230.199 0 8.208 0.405 0 35.254 10 6495
"82" -103 -33 19.238 8.662 0.056 235.792 0 8.206 0.624 0 34.777 10 6646
"83" -103 -35 17.82 9.241 0.113 242.783 0 8.205 1.092 0.002 34.365 10 6804
"84" -103 -37 16.337 9.024 0.169 250.598 0 8.203 1.345 0.003 34.119 10 6970
"85" -103 -39 14.718 8.21 0.232 259.477 0 8.2 1.431 0.005 34.017 10 7139
"86" -103 -41 13.12 7.503 0.26 268.101 0 8.197 1.446 0.006 33.999 10 7314
"87" -103 -43 11.627 6.716 0.264 276.94 0 8.194 1.424 0.005 34.032 10 7490
"88" -103 -45 10.238 5.975 0.265 285.1 0 8.19 1.401 0.004 34.075 30 7666
"89" -103 -47 9.102 5.415 0.274 291.856 0 8.186 1.385 0.004 34.111 30 7842
"90" -103 -5 24.779 7.077 0.246 214.241 0 8.202 1.532 0.014 34.973 22 4617
"91" -103 -7 24.969 5.779 0.237 213.978 0 8.205 1.485 0.013 35.107 22 4762
"92" -103 -9 24.83 5.176 0.222 214.046 0 8.208 1.489 0.011 35.286 22 4907
"93" -103 1 24.918 7.498 0.228 207.437 0 8.203 1.674 0.013 34.39 22 4176
"94" -103 11 28.533 3.078 0.184 203.707 0 8.222 1.559 0.009 33.51 22 3436
"95" -103 13 28.822 2.75 0.157 203.154 0 8.228 1.418 0.007 33.566 12 3290
"96" -103 15 28.855 3.248 0.113 202.233 0 8.235 1.158 0.005 33.693 12 3147
"97" -103 17 28.623 4.635 0.138 201.585 0 8.243 1.211 0.007 33.622 12 3008
"98" -103 3 26.633 4.995 0.174 206.182 0 8.207 1.522 0.008 34.057 22 4026
